[2026-06-22T18:17:48.397Z] INFO  [CursorTranscriptReader] Read Cursor session 29a7dd9e: 63 new bubbles, 6 entries extracted (index 0→63)
[2026-06-22T18:17:48.398Z] INFO  [CursorTranscriptReader] Read Cursor session 07a19962: 60 new bubbles, 4 entries extracted (index 0→60)
[2026-06-22T18:17:48.400Z] INFO  [CursorTranscriptReader] Read Cursor session 6a41675b: 80 new bubbles, 6 entries extracted (index 0→80)
[2026-06-22T18:17:48.402Z] INFO  [CursorTranscriptReader] Read Cursor session fed882bb: 99 new bubbles, 4 entries extracted (index 0→99)
[2026-06-22T18:17:48.405Z] INFO  [CursorTranscriptReader] Read Cursor session 3a52afdc: 79 new bubbles, 4 entries extracted (index 0→79)
[2026-06-22T18:17:48.406Z] INFO  [CursorTranscriptReader] Read Cursor session d3ad6822: 75 new bubbles, 4 entries extracted (index 0→75)
[2026-06-22T18:17:48.409Z] INFO  [CursorTranscriptReader] Read Cursor session 846c2fe3: 127 new bubbles, 6 entries extracted (index 0→127)
[2026-06-22T18:17:48.412Z] INFO  [CursorTranscriptReader] Read Cursor session 08a7b8d0: 109 new bubbles, 8 entries extracted (index 0→109)
[2026-06-22T18:17:48.417Z] INFO  [CursorTranscriptReader] Read Cursor session 57ff15ab: 210 new bubbles, 10 entries extracted (index 0→210)
[2026-06-22T18:17:48.420Z] INFO  [CursorTranscriptReader] Read Cursor session 5322d51b: 106 new bubbles, 6 entries extracted (index 0→106)
[2026-06-22T18:17:48.424Z] INFO  [CursorTranscriptReader] Read Cursor session 2a92388a: 198 new bubbles, 8 entries extracted (index 0→198)
[2026-06-22T18:17:48.425Z] INFO  [CursorTranscriptReader] Read Cursor session d959f793: 50 new bubbles, 6 entries extracted (index 0→50)
[2026-06-22T18:17:48.427Z] INFO  [CursorTranscriptReader] Read Cursor session 74a9fd8e: 131 new bubbles, 4 entries extracted (index 0→131)
[2026-06-22T18:17:48.431Z] INFO  [CursorTranscriptReader] Read Cursor session f02de42f: 192 new bubbles, 6 entries extracted (index 0→192)
[2026-06-22T18:17:48.433Z] INFO  [CursorTranscriptReader] Read Cursor session e18383a7: 67 new bubbles, 6 entries extracted (index 0→67)
[2026-06-22T18:17:48.435Z] INFO  [CursorTranscriptReader] Read Cursor session a9717c3f: 68 new bubbles, 4 entries extracted (index 0→68)
[2026-06-22T18:17:48.437Z] INFO  [CursorTranscriptReader] Read Cursor session e4071b91: 94 new bubbles, 4 entries extracted (index 0→94)
[2026-06-22T18:17:48.439Z] INFO  [CursorTranscriptReader] Read Cursor session 6a8745ec: 109 new bubbles, 4 entries extracted (index 0→109)
[2026-06-22T18:17:48.440Z] INFO  [CursorTranscriptReader] Read Cursor session c12bf7f0: 19 new bubbles, 2 entries extracted (index 0→19)
[2026-06-22T18:17:48.443Z] INFO  [CursorTranscriptReader] Read Cursor session 6c5ea408: 139 new bubbles, 6 entries extracted (index 0→139)
[2026-06-22T18:17:48.444Z] INFO  [CursorTranscriptReader] Read Cursor session 170406c4: 27 new bubbles, 2 entries extracted (index 0→27)
[2026-06-22T18:17:48.452Z] INFO  [CursorTranscriptReader] Read Cursor session e64b21a2: 152 new bubbles, 4 entries extracted (index 0→152)
[2026-06-22T18:17:48.455Z] INFO  [CursorTranscriptReader] Read Cursor session a803518d: 97 new bubbles, 6 entries extracted (index 0→97)
[2026-06-22T18:17:48.457Z] INFO  [CursorTranscriptReader] Read Cursor session cfb4dffd: 66 new bubbles, 4 entries extracted (index 0→66)
[2026-06-22T18:17:48.460Z] INFO  [CursorTranscriptReader] Read Cursor session 0254adf1: 119 new bubbles, 8 entries extracted (index 0→119)
[2026-06-22T18:17:48.462Z] INFO  [CursorTranscriptReader] Read Cursor session 7785d136: 63 new bubbles, 4 entries extracted (index 0→63)
[2026-06-22T18:17:48.468Z] INFO  [CursorTranscriptReader] Read Cursor session 27509bff: 294 new bubbles, 14 entries extracted (index 0→294)
